uuid,title,body/value,field_framework,field_course,field_code,field_number
bi-BI_dfeb1949,BI2: Impacts and Interactions  IMP §§ How are balances of power reflected in political boundaries and government power structures?,<p><strong>Impacts and Interactions  IMP §§ How are balances of power reflected in political boundaries and government power structures?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_0b7687de,"BI3: Spatial Patterns and Societal Change  SPS §§ How can political, economic, cultural, or technological changes challenge state sovereignty?","<p><strong>Spatial Patterns and Societal Change  SPS §§ How can political, economic, cultural, or technological changes challenge state sovereignty?</strong></p><p></p>",AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_b7a702ff,BI2: Impacts and Interactions  IMP §§ How does what people produce and consume vary in different locations?,<p><strong>Impacts and Interactions  IMP §§ How does what people produce and consume vary in different locations?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_9c27006d,BI3: Spatial Patterns and Societal Change  SPS §§ What kind of cultural changes and technological advances have impacted the way people grow and consume food?,<p><strong>Spatial Patterns and Societal Change  SPS §§ What kind of cultural changes and technological advances have impacted the way people grow and consume food?</strong></p><p></p>,AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_520f402b,"BI2: Impacts and Interactions  IMP §§ How are the attitudes, values, and balance of power of a population reflected in the built landscape?","<p><strong>Impacts and Interactions  IMP §§ How are the attitudes, values, and balance of power of a population reflected in the built landscape?</strong></p><p></p>",AP,Human Geography,BI2,2
bi-BI_4d926bfa,"BI3: Spatial Patterns and Societal Change  SPS §§ How are urban areas affected by unique economic, political, cultural, and environmental challenges?","<p><strong>Spatial Patterns and Societal Change  SPS §§ How are urban areas affected by unique economic, political, cultural, and environmental challenges?</strong></p><p></p>",AP,Human Geography,BI3,3
bi-BI_c5d41459,BI1: Patterns and Spatial,<p><strong>Patterns and Spatial</strong></p><p></p>,AP,Human Geography,BI1,1
bi-BI_185275f4,BI2: Impacts and Interactions  IMP §§ How might environmental problems stemming from industrialization be remedied through sustainable development strategies?,<p><strong>Impacts and Interactions  IMP §§ How might environmental problems stemming from industrialization be remedied through sustainable development strategies?</strong></p><p></p>,AP,Human Geography,BI2,2
bi-BI_dd2341f6,BI3: Spatial Patterns and Societal Change  SPS §§ Why has industrialization helped improve standards of living while also contributing to geographically uneven development?,<p><strong>Spatial Patterns and Societal Change  SPS §§ Why has industrialization helped improve standards of living while also contributing to geographically uneven development?</strong></p><p></p>,AP,Human Geography,BI3,3
bi-BI_8f1f26a1,EVO: EVOLUTION,"<p><strong>EVOLUTION</strong></p><p>The process of evolution drives the diversity and unity of life. Evolution is a change in the genetic makeup of a population over time, with natural selection as its major driving mechanism. Darwin’s theory, which is supported by evidence from many scientific disciplines, states that inheritable variations</p>",AP,Biology,EVO,1
bi-BI_f810a5ed,ENE: ENERGETICS,"<p><strong>ENERGETICS</strong></p><p>Biological systems use energy and molecular building blocks to grow, reproduce, and maintain dynamic homeostasis. Cells and organisms must exchange matter with the environment. Organisms respond to changes in their environment at the molecular, cellular, physiological, and</p>",AP,Biology,ENE,2
bi-BI_092aa4f7,IST: INFORMATION STORAGE AND TRANSMISSION,"<p><strong>INFORMATION STORAGE AND TRANSMISSION</strong></p><p>Living systems store, retrieve, transmit, and respond to information essential to life processes. Genetic information provides for continuity of life, and, in most cases, this information is passed from parent to offspring via DNA. Nonheritable information transmission influences</p>",AP,Biology,IST,3
bi-BI_820a8127,SYI: SYSTEMS INTERACTIONS,"<p><strong>SYSTEMS INTERACTIONS</strong></p><p>Biological systems interact, and these systems and their interactions exhibit complex properties. All biological systems comprise parts that interact with one another. These interactions result in characteristics and emergent properties not found in the individual parts alone. All biological</p>",AP,Biology,SYI,4
bi-BI_f90552c8,BI2: Energetics ENE § What is the role of energy in the making and breaking of polymers?,<p><strong>Energetics ENE § What is the role of energy in the making and breaking of polymers?</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_79b5013f,BI3: Information Storage and Transmission IST § How do living systems transmit information in order to ensure their survival?,<p><strong>Information Storage and Transmission IST § How do living systems transmit information in order to ensure their survival?</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_5fa93aa8,BI4: Systems,<p><strong>Systems</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_f5893c1e,BI2: Energetics  ENE §Bullet,<p><strong>Energetics  ENE §Bullet</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_c31f8c30,BI3: Information Storage and Transmission IST,<p><strong>Information Storage and Transmission IST</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_5fa93aa8,BI4: Systems,<p><strong>Systems</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_7c607d3c,BI1: Evolution EVO § Defend the origin of eukaryotic cells.,<p><strong>Evolution EVO § Defend the origin of eukaryotic cells.</strong></p><p></p>,AP,Biology,BI1,1
bi-BI_bc1061f7,BI2: Energetics ENE § How do the mechanisms for transport across membranes support energy conservation?,<p><strong>Energetics ENE § How do the mechanisms for transport across membranes support energy conservation?</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_5fa93aa8,BI4: Systems,<p><strong>Systems</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_130719f7,BI2: Energetics ENE,<p><strong>Energetics ENE</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_5fa93aa8,BI4: Systems,<p><strong>Systems</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_627cd868,BI2: Energetics,<p><strong>Energetics</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_82da7c60,BI3: Information Storage and Transmission,<p><strong>Information Storage and Transmission</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_d21e1670,BI1: Evolution,<p><strong>Evolution</strong></p><p></p>,AP,Biology,BI1,1
bi-BI_82da7c60,BI3: Information Storage and Transmission,<p><strong>Information Storage and Transmission</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_375a4b4b,BI4: Systems Interactions,<p><strong>Systems Interactions</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_82da7c60,BI3: Information Storage and Transmission,<p><strong>Information Storage and Transmission</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_09bf3f0f,BI1: Evolution  EVO,<p><strong>Evolution  EVO</strong></p><p></p>,AP,Biology,BI1,1
bi-BI_375a4b4b,BI4: Systems Interactions,<p><strong>Systems Interactions</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_8f315fc9,BI1: Evolution EVO §Bullet How does diversity among and between species in a biological system affect the evolution of species within the system?,<p><strong>Evolution EVO §Bullet How does diversity among and between species in a biological system affect the evolution of species within the system?</strong></p><p></p>,AP,Biology,BI1,1
bi-BI_130719f7,BI2: Energetics ENE,<p><strong>Energetics ENE</strong></p><p></p>,AP,Biology,BI2,2
bi-BI_24367260,BI3: Information Storage and Transmission  IST,<p><strong>Information Storage and Transmission  IST</strong></p><p></p>,AP,Biology,BI3,3
bi-BI_5fa93aa8,BI4: Systems,<p><strong>Systems</strong></p><p></p>,AP,Biology,BI4,4
bi-BI_ac61a773,SYS: SYSTEMS,<p><strong>SYSTEMS</strong></p><p>Objects and systems have properties such as mass and charge. Systems may have internal structure.</p>,AP,Physics 2,SYS,1
bi-BI_cf98f75a,FLD: FIELDS,<p><strong>FIELDS</strong></p><p>Fields existing in space can be used to explain interactions.</p>,AP,Physics 2,FLD,2
bi-BI_30874afb,INT: FORCE INTERACTIONS,<p><strong>FORCE INTERACTIONS</strong></p><p>The interactions of an object with other objects can be described by forces.</p>,AP,Physics 2,INT,3
bi-BI_18db9637,CHA: CHANGE,<p><strong>CHANGE</strong></p><p>Interactions between systems can result in changes in those systems.</p>,AP,Physics 2,CHA,4
bi-BI_efe40e3b,CON: CONSERVATION,<p><strong>CONSERVATION</strong></p><p>Changes that occur as a result of interactions are constrained by conservation laws. continued on next page Return to Table of Contents © 2020 College Board Course Framework V.1 | 17</p>,AP,Physics 2,CON,5
bi-BI_6b9f94db,WAV: WAVES,<p><strong>WAVES</strong></p><p>Waves can transfer energy and momentum from one location to another without the permanent transfer of mass and serve as a mathematical model for the description of other phenomena.</p>,AP,Physics 2,WAV,6
bi-BI_3286aa0f,PRO: PROBABILITY,<p><strong>PROBABILITY</strong></p><p>The mathematics of probability can be used to describe the behavior of complex systems and to interpret the behavior of quantum mechanical systems. Return to Table of Contents © 2020 College Board Course Framework V.1 | 18</p>,AP,Physics 2,PRO,7
bi-BI_5f6b2308,BI1: Systems SYS § How are the visible properties of materials determined by parts that can’t be seen?,<p><strong>Systems SYS § How are the visible properties of materials determined by parts that can’t be seen?</strong></p><p></p>,AP,Physics 2,BI1,1
bi-BI_b33bba3a,BI3: Force Interactions INT § Why do some objects float and others sink?,<p><strong>Force Interactions INT § Why do some objects float and others sink?</strong></p><p></p>,AP,Physics 2,BI3,3
bi-BI_fe3ce9d8,BI5: Conservation CON § How can a hydraulic system be modified to do more work?,<p><strong>Conservation CON § How can a hydraulic system be modified to do more work?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_315dc8f9,BI1: Systems,<p><strong>Systems</strong></p><p></p>,AP,Physics 2,BI1,1
bi-BI_3231f6a6,BI1: Systems  SYS §§ How are the visible properties of materials determined by parts that can’t be seen?,<p><strong>Systems  SYS §§ How are the visible properties of materials determined by parts that can’t be seen?</strong></p><p></p>,AP,Physics 2,BI1,1
bi-BI_e4d05a67,BI3: Force Interactions  INT §§ Why do some objects float and others sink?,<p><strong>Force Interactions  INT §§ Why do some objects float and others sink?</strong></p><p></p>,AP,Physics 2,BI3,3
bi-BI_4d63e0a5,BI5: Conservation  CON §§ How can a hydraulic system be modified to do more work?,<p><strong>Conservation  CON §§ How can a hydraulic system be modified to do more work?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_562ce659,BI1: Systems  SYS §§ How is the temperature of a substance related to the energy and movement of its atoms and molecules?,<p><strong>Systems  SYS §§ How is the temperature of a substance related to the energy and movement of its atoms and molecules?</strong></p><p></p>,AP,Physics 2,BI1,1
bi-BI_3e00256e,BI5: Conservation  CON §§ How does the direction in which a heat engine does work determine whether it is used as a refrigerator or a heat pump?,<p><strong>Conservation  CON §§ How does the direction in which a heat engine does work determine whether it is used as a refrigerator or a heat pump?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_40820242,BI7: Probability  PRO §§ How does probability help explain entropy?,<p><strong>Probability  PRO §§ How does probability help explain entropy?</strong></p><p></p>,AP,Physics 2,BI7,7
bi-BI_31ad0a4a,BI2: Fields  FLD §§ How are topographical maps connected to the ideas of electric field and potential?,<p><strong>Fields  FLD §§ How are topographical maps connected to the ideas of electric field and potential?</strong></p><p></p>,AP,Physics 2,BI2,2
bi-BI_cbbcea3e,BI3: Force Interactions  INT §§ How do electrical charges behave in an electric field?,<p><strong>Force Interactions  INT §§ How do electrical charges behave in an electric field?</strong></p><p></p>,AP,Physics 2,BI3,3
bi-BI_67a9d424,BI5: Conservation  CON §§ Why do charges move?,<p><strong>Conservation  CON §§ Why do charges move?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_091a7d18,BI1: Systems  SYS §§ How can what’s inside affect what’s outside?,<p><strong>Systems  SYS §§ How can what’s inside affect what’s outside?</strong></p><p></p>,AP,Physics 2,BI1,1
bi-BI_d236c020,BI4: Change  CHA §§ How can you change the value of something just by changing its shape?,<p><strong>Change  CHA §§ How can you change the value of something just by changing its shape?</strong></p><p></p>,AP,Physics 2,BI4,4
bi-BI_a10ed6dd,BI5: Conservation  CON §§ How can the electric company justify its claims that it sells “electricity”?,<p><strong>Conservation  CON §§ How can the electric company justify its claims that it sells “electricity”?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_fd18a49d,BI2: Fields  FLD §§ How are magnetic fields both helpful and harmful?,<p><strong>Fields  FLD §§ How are magnetic fields both helpful and harmful?</strong></p><p></p>,AP,Physics 2,BI2,2
bi-BI_6911694a,BI3: Force Interactions  INT §§ How can current carrying wires exert forces on magnets and other current-carrying wires?,<p><strong>Force Interactions  INT §§ How can current carrying wires exert forces on magnets and other current-carrying wires?</strong></p><p></p>,AP,Physics 2,BI3,3
bi-BI_2c1b5c12,BI4: Change  CHA §§ Why does a relationship exist between electrical currents and magnetic fields?,<p><strong>Change  CHA §§ Why does a relationship exist between electrical currents and magnetic fields?</strong></p><p></p>,AP,Physics 2,BI4,4
bi-BI_8260a8ab,BI6: Waves  WAV §§ Can we really make something invisible?,<p><strong>Waves  WAV §§ Can we really make something invisible?</strong></p><p></p>,AP,Physics 2,BI6,6
bi-BI_1593c553,BI5: Conservation  CON §§ How can nucleon numbers be conserved when there are so many ways for an atom to split and decay?,<p><strong>Conservation  CON §§ How can nucleon numbers be conserved when there are so many ways for an atom to split and decay?</strong></p><p></p>,AP,Physics 2,BI5,5
bi-BI_f2b4bd7c,BI6: Waves  WAV §§ How does the photoelectric effect support the idea of wave/particle duality?,<p><strong>Waves  WAV §§ How does the photoelectric effect support the idea of wave/particle duality?</strong></p><p></p>,AP,Physics 2,BI6,6
bi-BI_61ca3d3d,BI7: Probability  PRO §§ How does probability govern the behavior of systems?,<p><strong>Probability  PRO §§ How does probability govern the behavior of systems?</strong></p><p></p>,AP,Physics 2,BI7,7
bi-BI_7643cb2b,PAU: POWER AND AUTHORITY,<p><strong>POWER AND AUTHORITY</strong></p><p>Political systems and regimes govern societies and determine who has power and authority. They shape the level of legitimacy and produce different policy outcomes.</p>,AP,Comparative Government And Politics,PAU,1
bi-BI_2628d72f,LEG: LEGITIMACY AND STABILITY,"<p><strong>LEGITIMACY AND STABILITY</strong></p><p>Political legitimacy is the degree to which a government’s right to rule is accepted by the citizenry. Governments that maintain high levels of legitimacy tend to be more stable and have an easier time enacting, implementing, and enforcing their policies.</p>",AP,Comparative Government And Politics,LEG,2
bi-BI_e019e854,DEM: DEMOCRATIZATION,"<p><strong>DEMOCRATIZATION</strong></p><p>Democratization is a process that involves the adoption of free and fair elections, the extension of civil liberties, and the establishment of the rule of law. Democratization is a long-term and often uneven process that typically results in increased governmental transparency and greater citizen access and influence over policy making.</p>",AP,Comparative Government And Politics,DEM,3
bi-BI_1c297cf7,BI4: INTERNAL,"<p><strong>INTERNAL</strong></p><p>Internal forces, such as political culture, citizen participation, civil society, interest groups, environmental pressures, and internal divisions based on class, religion, ethnicity, and/or territory, can both challenge and reinforce regimes. External forces, especially globalization, include the increasing</p>",AP,Comparative Government And Politics,BI4,4
bi-BI_0c981632,MPA: METHODS OF POLITICAL ANALYSIS,"<p><strong>METHODS OF POLITICAL ANALYSIS</strong></p><p>Political scientists collect data and make observations in order to describe patterns and trends and explain the political behavior of individuals, groups, organizations, and governments. They use data and ideas from other disciplines such as economics, sociology, history, and geography when drawing conclusions.</p>",AP,Comparative Government And Politics,MPA,5
bi-BI_4cd04602,BI1: Power and Authority PAU § How does a political system affect the daily life of citizens?,<p><strong>Power and Authority PAU § How does a political system affect the daily life of citizens?</strong></p><p></p>,AP,Comparative Government And Politics,BI1,1
