uuid,title,body/value,field_framework,field_course,field_code,field_big_idea_ref
eu-EU_14b4143b,2.2: Authors choose evidence to shape and support their arguments. Individuals evaluate the line of reaso...,<p>Authors choose evidence to shape and support their arguments. Individuals evaluate the line of reasoning and evidence to determine to what extent they believe or accept an argument.</p>,AP,Research,2.2,
eu-EU_14b4143b,2.2: Authors choose evidence to shape and support their arguments. Individuals evaluate the line of reaso...,<p>Authors choose evidence to shape and support their arguments. Individuals evaluate the line of reasoning and evidence to determine to what extent they believe or accept an argument.</p>,AP,Research,2.2,
eu-EU_d98b3d4e,2.3: Arguments have implications and consequences.,<p>Arguments have implications and consequences.</p>,AP,Research,2.3,
eu-EU_3ab3047f,3.1: Different perspectives often lead to competing and alternative arguments. The complexity of an issue...,"<p>Different perspectives often lead to competing and alternative arguments. The complexity of an issue emerges when people bring these differing, multiple perspectives to the conversation.</p>",AP,Research,3.1,
eu-EU_24422579,3.2: Not all arguments are equal; some arguments are more credible/valid than others.,<p>Not all arguments are equal; some arguments are more credible/valid than others.</p>,AP,Research,3.2,
eu-EU_b5a10b52,4.1: Scholarly works convey perspectives and demonstrate effective reasoning that have been selected for ...,"<p>Scholarly works convey perspectives and demonstrate effective reasoning that have been selected for the intended audience, purpose, and situation.</p>",AP,Research,4.1,
eu-EU_b5a10b52,4.1: Scholarly works convey perspectives and demonstrate effective reasoning that have been selected for ...,"<p>Scholarly works convey perspectives and demonstrate effective reasoning that have been selected for the intended audience, purpose, and situation.</p>",AP,Research,4.1,
eu-EU_3e9870ff,4.2: Scholars responsibly and purposefully engage with the evidence to develop a compelling argument or a...,<p>Scholars responsibly and purposefully engage with the evidence to develop a compelling argument or aesthetic rationale.</p>,AP,Research,4.2,
eu-EU_51c9761a,4.3: Responsible participation in the scholarly community requires acknowledging and respecting the prior...,<p>Responsible participation in the scholarly community requires acknowledging and respecting the prior findings and contributions of others.</p>,AP,Research,4.3,
eu-EU_51c9761a,4.3: Responsible participation in the scholarly community requires acknowledging and respecting the prior...,<p>Responsible participation in the scholarly community requires acknowledging and respecting the prior findings and contributions of others.</p>,AP,Research,4.3,
eu-EU_bfefb3b2,4.4: Forming one’s own perspective and reaching new understandings involve innovative thinking and synthe...,<p>Forming one’s own perspective and reaching new understandings involve innovative thinking and synthesis of existing knowledge with personally generated evidence.</p>,AP,Research,4.4,
eu-EU_3b6afebb,"4.5: Arguments, choices, and solutions present intended and unintended opportunities and consequences.","<p>Arguments, choices, and solutions present intended and unintended opportunities and consequences.</p>",AP,Research,4.5,
eu-EU_ee43a1d1,5.1: How a perspective or argument is presented affects how people interpret or react to it. The same per...,"<p>How a perspective or argument is presented affects how people interpret or react to it. The same perspective or argument may be developed or presented differently depending on audience, purpose, and context.</p>",AP,Research,5.1,
eu-EU_ee43a1d1,5.1: How a perspective or argument is presented affects how people interpret or react to it. The same per...,"<p>How a perspective or argument is presented affects how people interpret or react to it. The same perspective or argument may be developed or presented differently depending on audience, purpose, and context.</p>",AP,Research,5.1,
eu-EU_ee43a1d1,5.1: How a perspective or argument is presented affects how people interpret or react to it. The same per...,"<p>How a perspective or argument is presented affects how people interpret or react to it. The same perspective or argument may be developed or presented differently depending on audience, purpose, and context.</p>",AP,Research,5.1,
eu-EU_ee43a1d1,5.1: How a perspective or argument is presented affects how people interpret or react to it. The same per...,"<p>How a perspective or argument is presented affects how people interpret or react to it. The same perspective or argument may be developed or presented differently depending on audience, purpose, and context.</p>",AP,Research,5.1,
eu-EU_0f217330,"5.2: Teams are most effective when they draw on the diverse perspectives, skills, and backgrounds of team...","<p>Teams are most effective when they draw on the diverse perspectives, skills, and backgrounds of team members to address complex, open-ended problems.</p>",AP,Research,5.2,
eu-EU_9bb386af,"5.3: Reflection increases learning, self-awareness, and personal growth through identification and evalua...","<p>Reflection increases learning, self-awareness, and personal growth through identification and evaluation of personal conclusions and their implications.</p>",AP,Research,5.3,
eu-EU_f3984207,"5.4: Scholars perform, present, and/or produce their work within a larger community. Throughout the inqui...","<p>Scholars perform, present, and/or produce their work within a larger community. Throughout the inquiry process, scholars interact with and benefit from the scholarly community through thoughtful engagement with the opinions and critiques of others.</p>",AP,Research,5.4,
