code,text,framework,subject,anchor_standard,eu_references,eq_references
DA:Cr1.1.PK,DA:Cr1.1.K DA:Cr1.1.1 DA:Cr1.1.2 DA:Cr1.1.3 DA:Cr1.1.4 DA:Cr1.1.5 DA:Cr1.1.6 DA:Cr1.1.7 DA:Cr1.1.8 DA:Cr1.1.I DA:Cr1.1.II DA:Cr1.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_e1d42ba4,EQ_d81c06a1
DA:Cr2.1.PK,DA:Cr2.1.K DA:Cr2.1.1 DA:Cr2.1.2 DA:Cr2.1.3 DA:Cr2.1.4 DA:Cr2.1.5 DA:Cr2.1.6 DA:Cr2.1.7 DA:Cr2.1.8 DA:Cr2.1.I DA:Cr2.1.II DA:Cr2.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_2646b8b6,EQ_d81c06a1
DA:Cr3.1.PK,DA:Cr3.1.K DA:Cr3.1.1 DA:Cr3.1.2 DA:Cr3.1.3 DA:Cr3.1.4 DA:Cr3.1.5 DA:Cr3.1.6 DA:Cr3.1.7 DA:Cr3.1.8 DA:Cr3.1.I DA:Cr3.1.II DA:Cr3.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_a4ebc983,EQ_d81c06a1
DA:Pr4.1.PK,DA:Pr4.1.K DA:Pr4.1.1 DA:Pr4.1.2 DA:Pr4.1.3 DA:Pr4.1.4 DA:Pr4.1.5 DA:Pr4.1.6 DA:Pr4.1.7 DA:Pr4.1.8 DA:Pr4.1.I DA:Pr4.1.II DA:Pr4.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_8fe05cc2,EQ_c1cd84f2
DA:Pr5.1.PK,"DA:Pr5.1.K DA:Pr5.1.1 DA:Pr5.1.2 DA:Pr5.1.3 DA:Pr5.1.4 DA:Pr5.1.5 DA:Pr5.1.6 DA:Pr5.1.7 DA:Pr5.1.8 DA:Pr5.1.I DA:Pr5.1.II DA:Pr5.1.III |  |  |  |  |  |  |  |  |  |  |  |  | | a. Demonstrate basic full body locomotor, non-locomotor movement, and body patterning with spatial relationships. | a. Demonstrate same side and cross-body locomotor and non locomotor movements, body patterning movements, and body shapes. | a. Demonstrate a range of locomotor and non-locomotor movements, body patterning, body shapes, and directionality. | a. Demonstrate a range of locomotor and non-locomotor movements, body patterning, and dance sequences that require moving through space using a variety of pathways. | a. Replicate body shapes, movement characteristics, and movement patterns in a dance sequence with awareness of body alignment and core support. | a. Demonstrate fundamental dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness) and movement qualities when replicating and recalling patterns and sequences of locomotor and non locomotor movements. | a. Recall and execute a series of dance phrases using fundamental dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement). | a. Embody technical dance skills (for example, alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement) to accurately execute changes of direction, levels, facings, pathways, elevations and landings, extensions of limbs, and movement transitions. | a. Apply body-use strategies to accommodate physical maturational development to technical dance skills (for example, functional alignment, coordination, balance, core support, kinesthetic awareness, clarity of movement, weight shifts, flexibility/range of motion). | a. Embody technical dance skills (for example, functional alignment, coordination, balance, core support, clarity of movement, weight shifts, flexibility/range of motion) to replicate, recall, and execute spatial designs and musical or rhythmical dance phrases. | a. Embody technical dance skills (for example, functional alignment, coordination, balance, core support, clarity of movement, weight shifts, flexibility/range of motion) to retain and execute dance choreography. | a. Dance with sensibility toward other dancers while executing complex spatial, rhythmic and dynamic sequences to meet performance goals. | a. Apply body-mind principles to technical dance skills in complex choreography when performing solo, partnering, or dancing in ensemble works in a variety of dance genres and styles. Self-evaluate performances and discuss and analyze performance ability with others. |",NCAS,Dance,11,EU_16923821,EQ_c1cd84f2
DA:Pr6.1.PK,DA:Pr6.1.K DA:Pr6.1.1 DA:Pr6.1.2 DA:Pr6.1.3 DA:Pr6.1.4 DA:Pr6.1.5 DA:Pr6.1.6 DA:Pr6.1.7 DA:Pr6.1.8 DA:Pr6.1.I DA:Pr6.1.II DA:Pr6.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_3ef429f0,EQ_c1cd84f2
DA:Re.7.1.PK,DA:Re.7.1.K DA:Re.7.1.1 DA:Re.7.1.2 DA:Re.7.1.3 DA:Re.7.1.4 DA:Re.7.1.5 DA:Re.7.1.6 DA:Re.7.1.7 DA:Re.7.1.8 DA:Re.7.1.I DA:Re.7.1.II DA:Re.7.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_c75697b6,EQ_49c9d21e
DA:Re8.1.PK,DA:Re8.1.K DA:Re8.1.1 DA:Re8.1.2 DA:Re8.1.3 DA:Re8.1.4 DA:Re8.1.5 DA:Re8.1.6 DA:Re8.1.7 DA:Re8.1.8 DA:Re8.1.I DA:Re8.1.II DA:Re8.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_2af01bcd,EQ_49c9d21e
DA:Re9.1.PK,DA:Re9.1.K DA:Re9.1.1 DA:Re9.1.2 DA:Re9.1.3 DA:Re9.1.4 DA:Re9.1.5 DA:Re9.1.6 DA:Re9.1.7 DA:Re9.1.8 DA:Re9.1.I DA:Re9.1.II DA:Re9.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_f4007ee0,EQ_49c9d21e
DA:Cn10.1.PK,DA:Cn10.1.K DA:Cn10.1.1 DA:Cn10.1.2 DA:Cn10.1.3 DA:Cn10.1.4 DA:Cn10.1.5 DA:Cn10.1.6 DA:Cn10.1.7 DA:Cn10.1.8 DA:Cn10.1.I DA:Cn10.1.II DA:Cn10.1.III |  |  |  |  |  |  |  |  |  |  |  |  |,NCAS,Dance,11,EU_5a889d2f,EQ_883660e4
MU:Cr3.2.PKa,"With substantial guidance, share revised musical ideas with peers.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.Ka,"With guidance, demonstrate  a final version of personal musical ideas to peers.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.1a,"With limited guidance, demonstrate and discuss personal reasons for selecting musical ideas  that represent  expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.2a,Demonstrate and explain  personal reasons for selecting patterns and ideas for their music that represent expressive intent.,NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.3a,"Demonstrate selected musical ideas for a simple  improvisation  or composition  to express intent,  and describe connection  to a specific purpose  and  context .",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.4a,"Demonstrate selected and organized musical ideas for an improvisation, arrangement ,  or composition to express intent, and explain connection to  purpose and context.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.5a,"Demonstrate selected and develop ed musical ideas for improvisations, arrangements , or compositions  to express intent, and explain connection to purpose and context.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.6a,"Select, organize, construct, and document personal musical ideas for arrangements and  compositions  within",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.7a,"Select, organize, develop and document personal musical ideas for  arrangements , songs, and compositions within AB, ABA,  or theme and variation  forms that demonstrate unity  and variety and convey expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr2.1.8a,"Select, organize, and document personal musical ideas for arrangements, songs, and compositions within expanded forms that demonstrate tension and release , unity and variety, and balance,   and convey expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.PKa,"With substantial guidance, demonstrate and state preference for varied musical selections.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.Ka,"With guidance,  demonstrate and state personal interest in varied musical selections.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.1a,"With limited guidance, convey expressive intent for a specific purpose by presenting  a final version of personal musical ideas to peers or informal audience.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.2a,Convey expressive intent for a specific purpose by presenting a final version of personal musical ideas to peers or informal audience.,NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.3a,"Present the final version of created music for others, and describe  connection to expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.4a,"Present the final version of created music for others, and explain  connection to expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.5a,"Present the final version of created music for others that demonstrates craftsmanship ,  and explain connection to expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.6a,"Present the final version of their documented personal composition or arrangement, using craftsmanship and originality to demonstrate an effective beginning, middle, and ending, and convey expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.7a,"Present the final version of their documented personal composition, song, or arrangement, using craftsmanship and originality to demonstrate unity  and  variety ,  and convey expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Cr3.2.8a,"Present the final version of their documented personal composition, song, or arrangement, using craftsmanship and originality to demonstrate the application of compositional techniques for creating unity and variety, tension and release ,  and balance  to convey  expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.3.PKa,"With substantial guidance, explore music’s expressive qualities (such as voice quality, dynamics, and tempo).",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.3.Ka,"With guidance, demonstrate awareness of  expressive qualities (such as voice quality, dynamics, and tempo) that support the creators’ expressive intent.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.3.1a,Demonstrate and describe  music’s expressive qualities (such as dynamics and tempo).,NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.3.2a,Demonstrate understanding  of expressive qualities (such as dynamics and tempo) and how creators  use  them to convey  expressive intent .,NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.3a,"Demonstrate and explain how the selection of music to perform  is influenced by personal interest, knowledge, purpose , and context .",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.4a,"Demonstrate and explain how the selection of music to perform is influenced by personal interest, knowledge, context, and technical skill .",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.5a,"Demonstrate and explain how the selection of music to perform is influenced by personal interest, knowledge, context, as well as their personal and others’ technical skill .",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.6a,Apply teacher provided  criteria for selecting music to perform for a specific purpose and/or context and explain why each was chosen.,NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.7a,"Apply collaboratively-developed criteria for selecting music of contrasting styles for a program  with a specific purpose and/or context and, after discussion, identify expressive qualities ,  technical challenges , and reasons  for choices.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Pr4.1.8a,"Apply personally-developed criteria for selecting music of contrasting styles for a program with a specific purpose and/or  context and explain expressive qualities, technical challenges, and reasons for choices.",NCAS,Music rev 12-1-16,8,EU_e6c2f8dc,EQ_b1f4a4b6
MU:Re7.1.1a,"With limited guidance, identify and demonstrate  how personal interests and experiences influence musical selection for specific purposes.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.2a,Explain and demonstrate how personal interests and experiences influence musical selection for specific purposes.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.3a,Demonstrate and describe  how intent is conveyed through expressive qualities (such as dynamics and tempo).,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.4a,"Demonstrate and explain  how intent is conveyed through interpretive decisions and expressive qualities (such as dynamics, tempo, and timbre ) .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.5a,"Demonstrate and explain how intent is conveyed through interpretive decisions and expressive qualities (such as dynamics, tempo, timbre, and articulation/style ) .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.6a,"Perform a selected piece of music demonstrating how  their interpretations of the elements of music and the expressive qualities (such as dynamics, tempo, timbre, articulation/style,  and phrasing ) convey intent.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.7a,"Perform contrasting pieces of music demonstrating their personal interpretations of the elements of music and expressive qualities (such as dynamics, tempo, timbre, articulation/style, and phrasing) convey intent.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.3.8a,"Perform contrasting pieces of music , demonstrating as well as explaining how the music’s intent is conveyed by their interpretations of the elements of music and expressive qualities (such as dynamics, tempo, timbre, articulation/style, and phrasing).",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.3a,"Demonstrate and describe  how selected music connects to  and is influenced by specific interests, experiences,  or purposes.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.4a,"Demonstrate and explain how selected music connects to and is influenced by specific interests, experiences, purposes, or contexts.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.5a,"Demonstrate and explain, citing evidence, how selected music connects to, and is influenced by specific interests, experiences, purposes, or contexts.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.6a,Select or choose music to listen to and explain the connections to specific interests or experiences for a specific purpose.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.7a,Select or choose contrasting  music to listen to and compare the connection to specific interests or experiences for a specific purpose.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.1.8a,Select programs  of music (such as a  CD mix or live performances) and demonstrate the connections to an interest or experience for a specific purpose.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.PKa,"With substantial guidance, explore and demonstrate awareness of musical contrasts.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.Ka,"With guidance, explore and demonstrate awareness of music contrasts (such as high/low, loud/soft, same/different) in a variety of music selected for performance .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.1a,"With limited guidance, create  musical ideas  (such as answering a musical question) for a specific  purpose .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.2a,Improvise rhythmic and melodic patterns and musical ideas for a specific purpose.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.3a,"Improvise rhythmic and melodic ideas, and describe  connection to specific purpose and context  (such as  personal and  social ).",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.4a,"Improvise rhythmic, melodic, and harmonic ideas, and explain connection to specific purpose and context (such as social and cultural ).",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.5a,"Improvise rhythmic, melodic, and harmonic ideas, and explain connection to specific purpose and context (such as social, cultural, and historical ).",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.6a,"Generate simple rhythmic, melodic, and harmonic phrases within AB and ABA forms that convey expressive intent.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.7a,"Generate rhythmic,  melodic, and harmonic  phrases and variations over harmonic accompaniments  within AB,",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Cr1.1.8a,"Generate rhythmic, melodic and harmonic phrases and harmonic accompaniments within expanded forms (including introductions, transitions, and codas ) that convey expressive intent.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.2.PKa,"With substantial guidance, explore  musical contrasts in music.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.2.Ka,"With guidance, demonstrate how a specific music concept  (such as  beat  or melodic direction ) is  used in music.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.1a,"With limited guidance, demonstrate knowledge of music concepts (such as beat and melodic contour ) in music from a variety of cultures selected for performance.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.2a,Demonstrate knowledge of music concepts (such as tonality and  meter ) in music from a variety of cultures selected for performance.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.3c,Describe how context (such as personal and social) can inform a performance.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.4c,Explain  how context (such as social and cultural ) informs a performance.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.5cExplain,"how context (such as social, cultural, and historical ) informs performances.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.6c,Identify how cultural and historical context inform the performances.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.7c,Identify how cultural and historical context inform performance and results in different music interpretations .,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr4.2.8c,Identity how cultural and historical context inform performance and results in different musical effects .,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re9.1.PKa,"With substantial guidance, talk about their personal and expressive preferences in music.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re9.1.Ka,"With guidance, apply personal and expressive preferences in the evaluation of music .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.1a,"With limited guidance, perform music for a specific purpose  with expression.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.2a,Perform music for a specific purpose with expression and technical accuracy .,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.3b,Demonstrate performance decorum  and audience etiquette appropriate for the  context and  venue.,NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.4b,"Demonstrate performance decorum and audience etiquette appropriate for the context, venue,  and  genre .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.5b,"Demonstrate performance decorum and audience etiquette appropriate for the context, venue, genre, and style .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.6b,"Demonstrate performance decorum (such as stage presence, attire, and behavior)  and audience etiquette appropriate for venue and purpose.",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.7b,"Demonstrate performance decorum (such as stage presence, attire, and behavior) and audience etiquette appropriate for venue, purpose, and context .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Pr6.1.8b,"Demonstrate performance decorum (such as stage presence, attire, and behavior) and audience etiquette appropriate for venue, purpose, context, and style .",NCAS,Music rev 12-1-16,10,EU_26f8a7a6,EQ_a0a7b632
MU:Re7.2.1a,"With limited guidance,  demonstrate and identify how specific music concepts (such as beat or pitch) is used in various styles of music for a purpose .",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.,Describe  how specific music concepts  are used to support a specific purpose  in music.,NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.3a,"Demonstrate and describe how a response to music  can be informed by the  structure , the use of the  elements of music , and  context  (such as  personal  and  social ).",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.4a,"Demonstrate and explain  how responses to music are informed by the structure, the use of the elements of music, and context (such as social and cultural ).",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.5a,"Demonstrate and explain, citing evidence , how responses to music are informed by the structure, the use of the elements of music, and context (such as social, cultural, and historical ).",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.6b,"Identify the context of music from a variety of genres, cultures, and historical periods.",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.7b,"Identify and compare  the context of music from a variety of genres, cultures, and historical periods.",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re7.2.8b,"Identify and compare the context of programs of music from a variety of genres, cultures, and historical periods.",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.1a,"With limited guidance, apply personal and expressive preferences in the evaluation of music for specific purposes.",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.2a,Apply personal and expressive preferences in the evaluation of music for specific purposes.,NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.3a,"Evaluate musical works  and performances , applying established criteria , and describe appropriateness to the  context .",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.4a,"Evaluate musical works and performances ,  applying established criteria, and explain appropriateness to the context.",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.5a,"Evaluate musical works and performances, applying established criteria, and explain appropriateness to the context, citing evidence from the  elements of music .",NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.6a,Apply teacher-provided criteria to evaluate  musical works or performances.,NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.7a,Select from teacher-provided  criteria to evaluate musical works or performances.,NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Re9.1.8a,Apply appropriate personally developed  criteria to evaluate musical works or performances.,NCAS,Music rev 12-1-16,11,EU_d9768810,EQ_6d755893
MU:Cr1.1.H.5a,"Generate melodic, rhythmic, and harmonic ideas for simple melodies (such as two phrase) and chordal accompaniments for given melodies.",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr1.1.H.8a,"Generate melodic, rhythmic, and",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr1.1.H.Ia,"Generate melodic, rhythmic, and harmonic ideas for improvisations , compositions (forms such as theme and variation  or 12-bar blues ), and three-or-more- chord accompaniments",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr1.1.H.IIa,"Generate melodic, rhythmic, and harmonic ideas for compositions (forms such as rounded binar y  or rondo ), improvisations,",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr1.1.H.IIIa,"Generate melodic, rhythmic, and harmonic ideas for a collection of compositions (representing a variety of forms  and styles ), improvisations in several different styles , and",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr2.1.H.5a,"Select, develop, and use standard notation or audio/video recording to document",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr2.1.H.8a,"Select, develop, and use standard notation and  audio/video recording to document",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr2.1.H.Ia,"Select, develop, and use standard notation and audio/video recording to document",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr2.1.H.IIa,"Select, develop, and use standard notation and audio/video recording to document",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr2.1.H.IIIa,"Select, develop, and use standard notation and audio/video recording to document",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.1.H.5a,"Apply teacher-provided criteria to critique, improve, and refine drafts of simple melodies (such as two-phrase) and chordal accompaniments for given melodies.",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.1.H.8a,"Apply teacher-provided criteria to critique, improve, and refine drafts of melodies (created over specified chord progressions  or AB / ABA  forms ) and two-to-three -chord accompaniments for given melodies.",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.1.H.Ia,"Develop and apply criteria to critique, improve, and refine drafts of improvisations , compositions  (forms such as",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.1.H.IIa,Develop and apply criteria to,NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.1.H.IIIa,Develop and apply criteria to,NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.2.H.5a,"Share final versions of simple melodies (such as two-phrase) and chordal accompaniments for given melodies, demonstrating an understanding of how to develop and organize personal musical ideas.",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.2.H.8a,"Share final versions of melodies (created over specified chord progressions  or AB / ABA forms )  and two-to-three -chord accompaniments for given melodies, demonstrating an understanding of how to develop and organize personal musical ideas.",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
MU:Cr3.2.H.Ia,"Perform  final versions of improvisations , compositions  (forms such as",NCAS,Music Harmonizing Instruments,1,EU_0f78795c,EQ_ee165909
