uuid,title,body/value,field_framework,field_subject,field_anchor_standard_ref
eq-EQ_cbda88f9,How do we learn about and create meaning through producing media artworks?,<p>How do we learn about and create meaning through producing media artworks?</p>,NCAS,Media Arts - new copyright info,10
eq-EQ_3a509bac,"How does media arts relate to its various contexts, purposes, and values?","<p>How does media arts relate to its various contexts, purposes, and values?</p>",NCAS,Media Arts - new copyright info,11
eq-EQ_8e8c39df,How does investigating these relationships inform and deepen the media artist's understanding and work?,<p>How does investigating these relationships inform and deepen the media artist's understanding and work?</p>,NCAS,Media Arts - new copyright info,11
eq-EQ_7e15b142,|  |  |  |  |  |  |  |  |  |  |  |  | Producing?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | Producing?</p>,NCAS,Media Arts - new copyright info,11
eq-EQ_d9b6388e,|  |  |  |  |  |  |  |  |  |  |  |  | RESPONDING?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | RESPONDING?</p>,NCAS,Media Arts - new copyright info,11
eq-EQ_338f7cb2,|  |  |?,<p>|  |  |?</p>,NCAS,Music Tech Strand,11
eq-EQ_02d8ab9a,|  |  | | HS Proficient HS Accomplished HS Advanced?,<p>|  |  | | HS Proficient HS Accomplished HS Advanced?</p>,NCAS,Music Tech Strand,11
eq-EQ_a7d105fb,"|  |  | | a Demonstrate understanding of relationships between music and the other arts, other?","<p>|  |  | | a Demonstrate understanding of relationships between music and the other arts, other?</p>",NCAS,Music Tech Strand,11
eq-EQ_1f6cb48c,"What conditions, attitudes, and behaviors support creativity and innovative thinking?","<p>What conditions, attitudes, and behaviors support creativity and innovative thinking?</p>",NCAS,Visual Arts - new copyright info,1
eq-EQ_904cf2bc,What factors prevent or encourage people to take creative risks?,<p>What factors prevent or encourage people to take creative risks?</p>,NCAS,Visual Arts - new copyright info,1
eq-EQ_df6a275c,How does collaboration expand the creative process?,<p>How does collaboration expand the creative process?</p>,NCAS,Visual Arts - new copyright info,1
eq-EQ_b5933862,"How does knowing the contexts histories, and traditions of art forms help us create works of art and design?","<p>How does knowing the contexts histories, and traditions of art forms help us create works of art and design?</p>",NCAS,Visual Arts - new copyright info,1
eq-EQ_a17bfbf0,Why do artists follow or break from established traditions?,<p>Why do artists follow or break from established traditions?</p>,NCAS,Visual Arts - new copyright info,1
eq-EQ_a13159f5,How do artists determine what resources and criteria are needed to formulate artistic investigations?,<p>How do artists determine what resources and criteria are needed to formulate artistic investigations?</p>,NCAS,Visual Arts - new copyright info,1
eq-EQ_54ab3b0b,"How do objects, places, and design shape lives and communities?","<p>How do objects, places, and design shape lives and communities?</p>",NCAS,Visual Arts - new copyright info,1
eq-EQ_727ab463,"How do artists and designers determine goals for designing or redesigning objects, places, or systems?","<p>How do artists and designers determine goals for designing or redesigning objects, places, or systems?</p>",NCAS,Visual Arts - new copyright info,1
eq-EQ_8ac8b308,How do artists and designers create works of art or design that effectively communicate?,<p>How do artists and designers create works of art or design that effectively communicate?</p>,NCAS,Visual Arts - new copyright info,1
eq-EQ_5260a4d7,How do artists work?,<p>How do artists work?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_443eb483,How do artists and designers determine whether a particular direction in their work is effective?,<p>How do artists and designers determine whether a particular direction in their work is effective?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_99c673f5,How do artists and designers learn from trial and error?,<p>How do artists and designers learn from trial and error?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_a7f3cfe8,"How do artists and designers care for and maintain materials, tools, and equipment?","<p>How do artists and designers care for and maintain materials, tools, and equipment?</p>",NCAS,Visual Arts - new copyright info,2
eq-EQ_61965d85,"Why is it important for safety and health to understand and follow correct procedures in handling materials, tools, and equipment?","<p>Why is it important for safety and health to understand and follow correct procedures in handling materials, tools, and equipment?</p>",NCAS,Visual Arts - new copyright info,2
eq-EQ_139bfefc,What responsibilities come with the freedom to create?,<p>What responsibilities come with the freedom to create?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_bd1f0659,"What role does persistence play in revising, refining, and developing work?","<p>What role does persistence play in revising, refining, and developing work?</p>",NCAS,Visual Arts - new copyright info,2
eq-EQ_f22912c4,How do artists grow and become accomplished in art forms?,<p>How do artists grow and become accomplished in art forms?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_47e7c4e5,How does collaboratively reflecting on a work help us experience it more completely?,<p>How does collaboratively reflecting on a work help us experience it more completely?</p>,NCAS,Visual Arts - new copyright info,2
eq-EQ_b1a02767,What methods and processes are considered when preparing artwork for presentation or preservation?,<p>What methods and processes are considered when preparing artwork for presentation or preservation?</p>,NCAS,Visual Arts - new copyright info,3
eq-EQ_051b6616,How does refining artwork affect its meaning to the viewer?,<p>How does refining artwork affect its meaning to the viewer?</p>,NCAS,Visual Arts - new copyright info,3
eq-EQ_c844c8b5,"What criteria are considered when selecting work for presentation, a portfolio, or a collection?","<p>What criteria are considered when selecting work for presentation, a portfolio, or a collection?</p>",NCAS,Visual Arts - new copyright info,3
eq-EQ_60c158b6,How are artworks cared for and by whom?,<p>How are artworks cared for and by whom?</p>,NCAS,Visual Arts - new copyright info,4
eq-EQ_e1fee7ae,"What criteria, methods, and processes are used to select work for preservation or presentation?","<p>What criteria, methods, and processes are used to select work for preservation or presentation?</p>",NCAS,Visual Arts - new copyright info,4
eq-EQ_739127c4,"Why do people value objects, artifacts, and artworks, and select them for presentation?","<p>Why do people value objects, artifacts, and artworks, and select them for presentation?</p>",NCAS,Visual Arts - new copyright info,4
eq-EQ_8a73f9f3,What is an art museum?,<p>What is an art museum?</p>,NCAS,Visual Arts - new copyright info,5
eq-EQ_83229080,"How does the presenting and sharing of objects, artifacts, and artworks influence and shape ideas, beliefs, and experiences?","<p>How does the presenting and sharing of objects, artifacts, and artworks influence and shape ideas, beliefs, and experiences?</p>",NCAS,Visual Arts - new copyright info,5
eq-EQ_135e98d7,"How do objects, artifacts, and artworks collected, preserved, or presented, cultivate appreciation and understanding?","<p>How do objects, artifacts, and artworks collected, preserved, or presented, cultivate appreciation and understanding?</p>",NCAS,Visual Arts - new copyright info,5
eq-EQ_20ad5d0f,What is an image?,<p>What is an image?</p>,NCAS,Visual Arts - new copyright info,6
eq-EQ_73ce9f28,Where and how do we encounter images in our world?,<p>Where and how do we encounter images in our world?</p>,NCAS,Visual Arts - new copyright info,6
eq-EQ_b9368074,How do images influence our views of the world?,<p>How do images influence our views of the world?</p>,NCAS,Visual Arts - new copyright info,6
eq-EQ_2e687701,How do life experiences influence the way you relate to art?,<p>How do life experiences influence the way you relate to art?</p>,NCAS,Visual Arts - new copyright info,7
eq-EQ_782964af,How does learning about art impact how we perceive the world?,<p>How does learning about art impact how we perceive the world?</p>,NCAS,Visual Arts - new copyright info,7
eq-EQ_9737b4c2,What can we learn from our responses to art?,<p>What can we learn from our responses to art?</p>,NCAS,Visual Arts - new copyright info,7
eq-EQ_6f16e6eb,How does one determine criteria to evaluate a work of art?,<p>How does one determine criteria to evaluate a work of art?</p>,NCAS,Visual Arts - new copyright info,9
eq-EQ_f3eb3054,How and why might criteria vary?,<p>How and why might criteria vary?</p>,NCAS,Visual Arts - new copyright info,9
eq-EQ_2f2c9b5c,How is a personal preference different from an evaluation?,<p>How is a personal preference different from an evaluation?</p>,NCAS,Visual Arts - new copyright info,9
eq-EQ_b8cc9afa,What is the value of engaging in the process of art criticism?,<p>What is the value of engaging in the process of art criticism?</p>,NCAS,Visual Arts - new copyright info,8
eq-EQ_6607db82,"How can the viewer ""read"" a work of art as text?","<p>How can the viewer ""read"" a work of art as text?</p>",NCAS,Visual Arts - new copyright info,8
eq-EQ_98d26726,How does knowing and using visual art vocabularies help us understand and interpret works of art?,<p>How does knowing and using visual art vocabularies help us understand and interpret works of art?</p>,NCAS,Visual Arts - new copyright info,8
eq-EQ_a0b2958e,"How does art help us understand the lives of people of different times, places, and cultures?","<p>How does art help us understand the lives of people of different times, places, and cultures?</p>",NCAS,Visual Arts - new copyright info,11
eq-EQ_95c02ab4,How is art used to impact the  views of a society?,<p>How is art used to impact the  views of a society?</p>,NCAS,Visual Arts - new copyright info,11
eq-EQ_26589774,How does art preserve aspects of life?,<p>How does art preserve aspects of life?</p>,NCAS,Visual Arts - new copyright info,11
eq-EQ_fb9d702c,How does engaging in creating art enrich people's lives?,<p>How does engaging in creating art enrich people's lives?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_a7cb5107,How does making art attune people to their surroundings?,<p>How does making art attune people to their surroundings?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_9e33efef,How do people contribute to awareness and understanding of their lives and the lives of their communities through art-making?,<p>How do people contribute to awareness and understanding of their lives and the lives of their communities through art-making?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_2ef55cd6,|  |  |  |  |  |  |  |  |  |  |  |  |?,<p>|  |  |  |  |  |  |  |  |  |  |  |  |?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_f99bff57,How do artists determine what resources and criteria are needed to formulate?,<p>How do artists determine what resources and criteria are needed to formulate?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_505bea1e,What responsibilities come with?,<p>What responsibilities come with?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_0c74d3b4,How do artists and designers create works of art or design that effectively?,<p>How do artists and designers create works of art or design that effectively?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_ff1755fa,"How do objects, artifacts, and artworks collected, preserved, or presented, cultivate appreciation?","<p>How do objects, artifacts, and artworks collected, preserved, or presented, cultivate appreciation?</p>",NCAS,Visual Arts - new copyright info,10
eq-EQ_b9003f6f,How is art used to impact the views of a society?,<p>How is art used to impact the views of a society?</p>,NCAS,Visual Arts - new copyright info,10
eq-EQ_10917ba1,How does understanding the structure and context of the music influence a response?,<p>How does understanding the structure and context of the music influence a response?</p>,NCAS,Music Traditional and Emerging Ensembles,6
eq-EQ_4daefad8,"|  |  | | Demonstrate understanding of relationships between music and the other arts, other?","<p>|  |  | | Demonstrate understanding of relationships between music and the other arts, other?</p>",NCAS,Music Theory and Composition Strand,11
eq-EQ_6f58848e,|  |  |  |  |  |  |  |  |  |  |  |  | CONNECTING?,<p>|  |  |  |  |  |  |  |  |  |  |  |  | CONNECTING?</p>,NCAS,Media Arts,11
