uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,status
c3-d2-civ-14-6-8,D2.Civ.14.6-8,basic_html,"<p>Compare historical and contemporary means of changing societies, and promoting the common good.</p>",14785,52019,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 6-8,D2.Civ.14.6-8,TRUE
c3-d2-civ-1-9-12,D2.Civ.1.9-12,basic_html,"<p>Distinguish the powers and responsibilities of local, state, tribal, national, and international civic and political institutions.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.1.9-12,TRUE
c3-d2-civ-2-9-12,D2.Civ.2.9-12,basic_html,"<p>Analyze the role of citizens in the U.S. political system, with attention to various theories of democracy, changes in Americans’ participation over time, and alternative models from other countries, past and present.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.2.9-12,TRUE
c3-d2-civ-3-9-12,D2.Civ.3.9-12,basic_html,"<p>Analyze the impact of constitutions, laws, treaties, and international agreements on the maintenance of national and international order. D2.Civ.4.K-2. Begins in grades 3–5</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.3.9-12,TRUE
c3-d2-civ-4-9-12,D2.Civ.4.9-12,basic_html,"<p>Explain how the U.S. Constitution establishes a system of government that has powers, responsibilities, and limits that have changed over time and that are still contested.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.4.9-12,TRUE
c3-d2-civ-5-9-12,D2.Civ.5.9-12,basic_html,"<p>Evaluate citizens’ and institutions’ effectiveness in addressing social and political problems at the local, state, tribal, national, and/or international level.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.5.9-12,TRUE
c3-d2-civ-6-9-12,D2.Civ.6.9-12,basic_html,"<p>Critique relationships among governments, civil societies, and economic markets. Civic and Political Institutions In order to act responsibly and effectively, citizens must understand the important institutions of their society and the principles that these institutions are intended to reflect. That requires mastery of a body of knowledge about law, politics, and government. Indicators of Dimension 2—Civic and Political Institutions—are detailed in the suggested K-12 Pathway for College, Career, and Civic Readiness in Table 9.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.6.9-12,TRUE
c3-d2-civ-7-9-12,D2.Civ.7.9-12,basic_html,<p>Apply civic virtues and democratic principles when working with others.</p>,14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.7.9-12,TRUE
c3-d2-civ-8-9-12,D2.Civ.8.9-12,basic_html,"<p>Evaluate social and political systems in different contexts, times, and places, that promote civic virtues and enact democratic principles.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.8.9-12,TRUE
c3-d2-civ-9-9-12,D2.Civ.9.9-12,basic_html,<p>Use appropriate deliberative processes in multiple settings.</p>,14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.9.9-12,TRUE
c3-d2-civ-10-9-12,D2.Civ.10.9-12,basic_html,"<p>Analyze the impact and the appropriate roles of personal interests and perspectives on the application of civic virtues, democratic principles, constitutional rights, and human rights. Participation and Deliberation: Applying Civic Virtues and Democratic Principles Civics teaches the principles—such as adherence to the social contract, consent of the governed, limited government, legitimate authority, federalism, and separation of powers—that are meant to guide official institutions such as legislatures, courts, and government agencies. It also teaches the virtues—such as honesty, mutual respect, cooperation, and attentiveness to multiple perspectives—that citizens should use when they interact with each other on public matters. Principles such as equality, freedom, liberty, respect for individual rights, and deliberation apply to both official institutions and informal interactions among citizens. Learning these virtues and principles requires obtaining factual knowledge of written provisions found in important texts such as the founding documents of the United States. It also means coming to understand the diverse arguments that have been made about these documents and their meanings. Finally, students understand virtues and principles by applying and reflecting on them through actual civic engagement— their own and that of other people from the past and present. Indicators of Dimension 2—Participation and Deliberation—are detailed in the suggested K-12 Pathway for College, Career, and Civic Readiness in Table 10.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.10.9-12,TRUE
c3-d2-civ-11-9-12,D2.Civ.11.9-12,basic_html,"<p>Evaluate multiple procedures for making governmental decisions at the local, state, national, and international levels in terms of the civic purposes achieved.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.11.9-12,TRUE
c3-d2-civ-12-9-12,D2.Civ.12.9-12,basic_html,"<p>Analyze how people use and challenge local, state, national, and international laws to address a variety of public issues. Begins in grades 3–5</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.12.9-12,TRUE
c3-d2-civ-13-9-12,D2.Civ.13.9-12,basic_html,"<p>Evaluate public policies in terms of intended and unintended outcomes, and related consequences.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.13.9-12,TRUE
c3-d2-civ-14-9-12,D2.Civ.14.9-12,basic_html,"<p>Analyze historical, contemporary, and emerging means of changing societies, promoting the common good, and protecting rights. Processes, Rules, and Laws Civics is the discipline of the social studies most directly concerned with the processes and rules by which groups of people make decisions, govern themselves, and address public problems. People address problems at all scales, from a classroom to the agreements among nations. Public policies are among the tools that governments use to address public problems. Students must learn how various rules, processes, laws, and policies actually work, which requires factual understanding of political systems and is the focus of this section. They must also obtain experience in defining and addressing public problems, as prompted in Dimension 4—Taking Informed Action. Indicators of Dimension 2—Processes, Rules, and Laws—are detailed in the suggested K-12 Pathway for College, Career, and Civic Readiness in Table 11.</p>",14785,52020,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Civics,Grades 9-12,D2.Civ.14.9-12,TRUE
c3-d2-eco-1-k-2,D2.Eco.1.K-2,basic_html,<p>Explain how scarcity necessitates decision making.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.1.K-2,TRUE
c3-d2-eco-2-k-2,D2.Eco.2.K-2,basic_html,<p>Identify the benefits and costs of making various personal decisions.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.2.K-2,TRUE
c3-d2-eco-3-k-2,D2.Eco.3.K-2,basic_html,<p>Describe the skills and knowledge required to produce certain goods and services.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.3.K-2,TRUE
c3-d2-eco-4-k-2,D2.Eco.4.K-2,basic_html,<p>Describe the goods and services that people in the local community produce and those that are produced in other communities.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.4.K-2,TRUE
c3-d2-eco-5-k-2,D2.Eco.5.K-2,basic_html,<p>Identify prices of products in a local market.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.5.K-2,TRUE
c3-d2-eco-6-k-2,D2.Eco.6.K-2,basic_html,<p>Explain how people earn income.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.6.K-2,TRUE
c3-d2-eco-7-k-2,D2.Eco.7.K-2,basic_html,<p>Describe examples of costs of production.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.7.K-2,TRUE
c3-d2-eco-9-k-2,D2.Eco.9.K-2,basic_html,<p>Describe the role of banks in an economy.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.9.K-2,TRUE
c3-d2-eco-10-k-2,D2.Eco.10.K-2,basic_html,<p>Explain why people save.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.10.K-2,TRUE
c3-d2-eco-12-k-2,D2.Eco.12.K-2,basic_html,<p>Describe examples of the goods and services that governments provide.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.12.K-2,TRUE
c3-d2-eco-13-k-2,D2.Eco.13.K-2,basic_html,<p>Describe examples of capital goods and human capital.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.13.K-2,TRUE
c3-d2-eco-14-k-2,D2.Eco.14.K-2,basic_html,<p>Describe why people in one country trade goods and services with people in other countries.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.14.K-2,TRUE
c3-d2-eco-15-k-2,D2.Eco.15.K-2,basic_html,<p>Describe products that are produced abroad and sold domestically and products that are produced domestically and sold abroad.</p>,14785,52022,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades K-2,D2.Eco.15.K-2,TRUE
c3-d2-eco-1-3-5,D2.Eco.1.3-5,basic_html,<p>Compare the benefits and costs of individual choices.</p>,14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.1.3-5,TRUE
c3-d2-eco-2-3-5,D2.Eco.2.3-5,basic_html,<p>Identify positive and negative incentives that influence the decisions people make.</p>,14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.2.3-5,TRUE
c3-d2-eco-3-3-5,D2.Eco.3.3-5,basic_html,"<p>Identify examples of the variety of resources (human capital, physical capital, and natural resources) that are used to produce goods and services.</p>",14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.3.3-5,TRUE
c3-d2-eco-4-3-5,D2.Eco.4.3-5,basic_html,<p>Explain why individuals and businesses specialize and trade.</p>,14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.4.3-5,TRUE
c3-d2-eco-5-3-5,D2.Eco.5.3-5,basic_html,<p>Explain the role of money in making exchange easier.</p>,14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.5.3-5,TRUE
c3-d2-eco-6-3-5,D2.Eco.6.3-5,basic_html,"<p>Explain the relationship between investment in human capital, productivity, and future incomes.</p>",14785,52023,16470,Dimension 2: Applying Disciplinary Concepts and Tools,Economics,Grades 3-5,D2.Eco.6.3-5,TRUE
