uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,field_dci,status
ngss-1-ps4-2,1-PS4-2,basic_html,"<p>Make observations to construct an evidence-based account that objects can be seen only when illuminated.</p>
<p><strong>Clarification Statement:</strong> Examples of observations could include those made in a completely dark room, a pinhole box, and a video of a cave explorer with a flashlight. Illumination could be from an external light source or by an object giving off its own light. 1-PS4-3. Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.    Examples of materials could include those that are transparent (such as clear plastic), translucent (such as wax paper), opaque (such as cardboard), and reflective (such as a mirror). [Assessment Boundary:  Assessment does not include the speed of light. 1-PS4-4. Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.*    Examples of devices could include a light source to send signals, paper cup and string “telephones,” and a pattern of drum beats. [Assessment Boundary:  Assessment does not include technological details for how communication devices work. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Planning and Carrying Out Investigations Planning and carrying out investigations to answer questions or test solutions to problems in K–2 builds on prior experiences and progresses to simple investigations, based on fair tests, which provide data to support explanations or design solutions. ▪ Plan and conduct investigations collaboratively to produce data to serve as the basis for evidence to answer a question. (1-PS4-1),(1-PS4-3) Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena (1-PS4 2) ▪ Use tools and materials provided to design a device that solves a specific problem. (1-PS4-4) -------------------------------------------------------- Connections to Nature of Science Scientific Investigations Use a Variety of Methods ▪ Science investigations begin with a question. (1-PS4-1) ▪ Scientists use different ways to study the world. (1-PS4-1) Disciplinary Core Ideas PS4.A:  Wave Properties ▪ Sound can make matter vibrate, and vibrating matter can make sound. (1-PS4-1) PS4.B:  Electromagnetic Radiation ▪ Objects can be seen if light is available to illuminate them or if they give off their own light. (1-PS4-2) ▪ Some materials allow light to pass through them, others allow only some light through and others block all the light and create a dark shadow on any surface beyond them, where the light cannot reach. Mirrors can be used to redirect a light beam. (Boundary: The idea that light travels from place to place is developed through experiences with light sources, mirrors, and shadows, but no attempt is made to discuss the speed of light.) (1- PS4-3) PS4.C:  Information Technologies and Instrumentation ▪ People also use a variety of devices to communicate (send and receive information) over long distances. (1- PS4-4) Crosscutting Concepts Cause and Effect ▪ Simple tests can be designed to gather evidence to support or refute student ideas about causes. (1-PS4-1),(1-PS4-2),(1-PS4-3) ------------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science, on Society and the Natural World ▪ People depend on various technologies in their lives; human life would be very different without technology. (1-PS4-4) Connections to other DCIs in first grade:  N/A Articulation of DCIs across grade-levels:  K.ETS1.A (1-PS4-4); 2.PS1.A (1-PS4-3); 2.ETS1.B (1-PS4-4); 4.PS4.C (1-PS4-4); 4.PS4.B (1-PS4-2); 4.ETS1.A (1-PS4-4) Common Core State Standards Connections: ELA/Literacy – W.1.2 Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure. (1-PS4-2) W.1.7 Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). (1-PS4- 1),(1-PS4-2),(1-PS4-3),(1-PS4-4) W.1.8 With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. (1-PS4-1),(1-PS4-2),(1- PS4-3) SL.1.1 Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups. (1-PS4-1),(1-PS4-2),(1- PS4-3) Mathematics – MP.5 Use appropriate tools strategically. (1-PS4-4) 1.MD.A.1 Order three objects by length; compare the lengths of two objects indirectly by using a third object. (1-PS4-4) 1.MD.A.2 Express the length of an object as a whole number of length units, by layering multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. (1-PS4-4) September 2017 ©2013 Achieve, Inc. All rights reserved. 9 of 102</p>",14784,53012,16470,Grade 1,Waves:  Light and Sound,PS4: Waves and Their Applications in Technologies for Information Transfer,1-PS4-2,PS4,TRUE
ngss-1-ps4-3,1-PS4-3,basic_html,"<p>Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.  [Clarification Statement:  Examples of materials could include those that are transparent (such as clear plastic), translucent (such as wax paper), opaque (such as cardboard), and reflective (such as a mirror).] [Assessment Boundary:  Assessment does not include the speed of light.]</p>",14784,53012,16470,Grade 1,Waves:  Light and Sound,PS4: Waves and Their Applications in Technologies for Information Transfer,1-PS4-3,PS4,TRUE
ngss-1-ps4-4,1-PS4-4,basic_html,"<p>Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.*  [Clarification Statement:  Examples of devices could include a light source to send signals, paper cup and string “telephones,” and a pattern of drum beats.] [Assessment Boundary:  Assessment does not include technological details for how communication devices work.]</p>",14784,53012,16470,Grade 1,Waves:  Light and Sound,PS4: Waves and Their Applications in Technologies for Information Transfer,1-PS4-4,PS4,TRUE
ngss-1-ls1-1,1-LS1-1,basic_html,"<p>Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.*  [Clarification Statement:  Examples of human problems that can be solved by mimicking plant or animal solutions could include designing clothing or equipment to protect bicyclists by mimicking turtle shells, acorn shells, and animal scales; stabilizing structures by mimicking animal tails and roots on plants; keeping out intruders by mimicking thorns on branches and animal quills; and, detecting intruders by mimicking eyes and ears.]</p>
<p><strong>Clarification Statement:</strong> Examples of patterns of behaviors could include the signals that offspring make (such as crying, cheeping, and other vocalizations) and the responses of the parents (such as feeding, comforting, and protecting the offspring). 1-LS3-1. Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.    Examples of patterns could include features plants or animals share. Examples of observations could include leaves from the same kind of plant are the same shape but can differ in size; and, a particular breed of dog looks like its parents but is not exactly the same.</p>
<p><strong>Assessment Boundary:</strong> Assessment does not include inheritance or animals that undergo metamorphosis or hybrids. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena. (1-LS3-1) ▪ Use materials to design a device that solves a specific problem or a solution to a specific problem. (1-LS1-1) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K– 2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Read grade-appropriate texts and use media to obtain scientific information to determine patterns in the natural world. (1-LS1-2) ----------------------------------------------- Connections to Nature of Science Scientific Knowledge is Based on Empirical Evidence ▪ Scientists look for patterns and order when making observations about the world. (1-LS1-2) Disciplinary Core Ideas LS1.A:  Structure and Function ▪ All organisms have external parts. Different animals use their body parts in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water and air. Plants also have different parts (roots, stems, leaves, flowers, fruits) that help them survive and grow. (1-LS1-1) LS1.B:  Growth and Development of Organisms ▪ Adult plants and animals can have young. In many kinds of animals, parents and the offspring themselves engage in behaviors that help the offspring to survive. (1-LS1-2) LS1.D:  Information Processing ▪ Animals have body parts that capture and convey different kinds of information needed for growth and survival. Animals respond to these inputs with behaviors that help them survive. Plants also respond to some external inputs. (1-LS1-1) LS3.A:  Inheritance of Traits ▪ Young animals are very much, but not exactly, like their parents. Plants also are very much, but not exactly, like their parents. (1- LS3-1) LS3.B:  Variation of Traits ▪ Individuals of the same kind of plant or animal are recognizable as similar but can also vary in many ways. (1-LS3-1) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed, used to describe phenomena, and used as evidence. (1-LS1-2),(1-LS3 1) Structure and Function ▪ The shape and stability of structures of natural and designed objects are related to their function(s). (1-LS1-1) ---------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science on Society and the Natural World ▪ Every human-made product is designed by applying some knowledge of the natural world and is built by built using materials derived from the natural world. (1-LS1-1) Connections to other DCIs in first grade:  N/A Articulation of DCIs across grade-levels:  K.ETS1.A (1-LS1-1); 3.LS2.D (1-LS1-2) 3.LS3.A (1-LS3-1); 3.LS3.B (1-LS3-1); 4.LS1.A (1-LS1-1); 4.LS1.D (1-LS1-1); 4.ETS1.A (1-LS1-1) Common Core State Standards Connections: ELA/Literacy – RI.1.1 Ask and answer questions about key details in a text. (1-LS1-2),(1-LS3-1) RI.1.2 Identify the main topic and retell key details of a text. (1-LS1-2) RI.1.10 With prompting and support, read informational texts appropriately complex for grade. (1-LS1-2) W.1.7 Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). (1-LS1- 1),(1-LS3-1) W.1.8 With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. (1-LS3-1) Mathematics – MP.2 Reason abstractly and quantitatively. (1-LS3-1) MP.5 Use appropriate tools strategically. (1-LS3-1) 1.NBT.B.3 Compare two two-digit numbers based on the meanings of the tens and one digits, recording the results of comparisons with the symbols , , and . (1-LS1-2) 1.NBT.C.4 Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning uses. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten. (1- LS1-2) 1.NBT.C.5 Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used. (1-LS1-2) 1.NBT.C.6 Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. (1-LS1-2) 1.MD.A.1 Order three objects by length; compare the lengths of two objects indirectly by using a third object. (1-LS3-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 10 of 102</p>",14784,53014,16470,Grade 1,"Structure, Function, and Information Processing",LS1: From Molecules to Organisms: Structures and Processes,1-LS1-1,LS1,TRUE
ngss-1-ls1-2,1-LS1-2,basic_html,"<p>Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.</p>
<p><strong>Clarification Statement:</strong> Examples of patterns of behaviors could include the signals that offspring make (such as crying, cheeping, and other vocalizations) and the responses of the parents (such as feeding, comforting, and protecting the offspring). 1-LS3-1. Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.    Examples of patterns could include features plants or animals share. Examples of observations could include leaves from the same kind of plant are the same shape but can differ in size; and, a particular breed of dog looks like its parents but is not exactly the same.</p>
<p><strong>Assessment Boundary:</strong> Assessment does not include inheritance or animals that undergo metamorphosis or hybrids. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena. (1-LS3-1) ▪ Use materials to design a device that solves a specific problem or a solution to a specific problem. (1-LS1-1) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K– 2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Read grade-appropriate texts and use media to obtain scientific information to determine patterns in the natural world. (1-LS1-2) ----------------------------------------------- Connections to Nature of Science Scientific Knowledge is Based on Empirical Evidence ▪ Scientists look for patterns and order when making observations about the world. (1-LS1-2) Disciplinary Core Ideas LS1.A:  Structure and Function ▪ All organisms have external parts. Different animals use their body parts in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water and air. Plants also have different parts (roots, stems, leaves, flowers, fruits) that help them survive and grow. (1-LS1-1) LS1.B:  Growth and Development of Organisms ▪ Adult plants and animals can have young. In many kinds of animals, parents and the offspring themselves engage in behaviors that help the offspring to survive. (1-LS1-2) LS1.D:  Information Processing ▪ Animals have body parts that capture and convey different kinds of information needed for growth and survival. Animals respond to these inputs with behaviors that help them survive. Plants also respond to some external inputs. (1-LS1-1) LS3.A:  Inheritance of Traits ▪ Young animals are very much, but not exactly, like their parents. Plants also are very much, but not exactly, like their parents. (1- LS3-1) LS3.B:  Variation of Traits ▪ Individuals of the same kind of plant or animal are recognizable as similar but can also vary in many ways. (1-LS3-1) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed, used to describe phenomena, and used as evidence. (1-LS1-2),(1-LS3 1) Structure and Function ▪ The shape and stability of structures of natural and designed objects are related to their function(s). (1-LS1-1) ---------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science on Society and the Natural World ▪ Every human-made product is designed by applying some knowledge of the natural world and is built by built using materials derived from the natural world. (1-LS1-1) Connections to other DCIs in first grade:  N/A Articulation of DCIs across grade-levels:  K.ETS1.A (1-LS1-1); 3.LS2.D (1-LS1-2) 3.LS3.A (1-LS3-1); 3.LS3.B (1-LS3-1); 4.LS1.A (1-LS1-1); 4.LS1.D (1-LS1-1); 4.ETS1.A (1-LS1-1) Common Core State Standards Connections: ELA/Literacy – RI.1.1 Ask and answer questions about key details in a text. (1-LS1-2),(1-LS3-1) RI.1.2 Identify the main topic and retell key details of a text. (1-LS1-2) RI.1.10 With prompting and support, read informational texts appropriately complex for grade. (1-LS1-2) W.1.7 Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). (1-LS1- 1),(1-LS3-1) W.1.8 With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. (1-LS3-1) Mathematics – MP.2 Reason abstractly and quantitatively. (1-LS3-1) MP.5 Use appropriate tools strategically. (1-LS3-1) 1.NBT.B.3 Compare two two-digit numbers based on the meanings of the tens and one digits, recording the results of comparisons with the symbols , , and . (1-LS1-2) 1.NBT.C.4 Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning uses. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten. (1- LS1-2) 1.NBT.C.5 Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used. (1-LS1-2) 1.NBT.C.6 Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. (1-LS1-2) 1.MD.A.1 Order three objects by length; compare the lengths of two objects indirectly by using a third object. (1-LS3-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 10 of 102</p>",14784,53014,16470,Grade 1,"Structure, Function, and Information Processing",LS1: From Molecules to Organisms: Structures and Processes,1-LS1-2,LS1,TRUE
ngss-1-ls3-1,1-LS3-1,basic_html,"<p>Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.  [Clarification Statement:  Examples of patterns could include features plants or animals share. Examples of observations could include leaves from the same kind of plant are the same shape but can differ in size; and, a particular breed of dog looks like its parents but is not exactly the same.]</p>
<p><strong>Assessment Boundary:</strong> Assessment does not include inheritance or animals that undergo metamorphosis or hybrids. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations (firsthand or from media) to construct an evidence-based account for natural phenomena. (1-LS3-1) ▪ Use materials to design a device that solves a specific problem or a solution to a specific problem. (1-LS1-1) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K– 2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Read grade-appropriate texts and use media to obtain scientific information to determine patterns in the natural world. (1-LS1-2) ----------------------------------------------- Connections to Nature of Science Scientific Knowledge is Based on Empirical Evidence ▪ Scientists look for patterns and order when making observations about the world. (1-LS1-2) Disciplinary Core Ideas LS1.A:  Structure and Function ▪ All organisms have external parts. Different animals use their body parts in different ways to see, hear, grasp objects, protect themselves, move from place to place, and seek, find, and take in food, water and air. Plants also have different parts (roots, stems, leaves, flowers, fruits) that help them survive and grow. (1-LS1-1) LS1.B:  Growth and Development of Organisms ▪ Adult plants and animals can have young. In many kinds of animals, parents and the offspring themselves engage in behaviors that help the offspring to survive. (1-LS1-2) LS1.D:  Information Processing ▪ Animals have body parts that capture and convey different kinds of information needed for growth and survival. Animals respond to these inputs with behaviors that help them survive. Plants also respond to some external inputs. (1-LS1-1) LS3.A:  Inheritance of Traits ▪ Young animals are very much, but not exactly, like their parents. Plants also are very much, but not exactly, like their parents. (1- LS3-1) LS3.B:  Variation of Traits ▪ Individuals of the same kind of plant or animal are recognizable as similar but can also vary in many ways. (1-LS3-1) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed, used to describe phenomena, and used as evidence. (1-LS1-2),(1-LS3 1) Structure and Function ▪ The shape and stability of structures of natural and designed objects are related to their function(s). (1-LS1-1) ---------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science on Society and the Natural World ▪ Every human-made product is designed by applying some knowledge of the natural world and is built by built using materials derived from the natural world. (1-LS1-1) Connections to other DCIs in first grade:  N/A Articulation of DCIs across grade-levels:  K.ETS1.A (1-LS1-1); 3.LS2.D (1-LS1-2) 3.LS3.A (1-LS3-1); 3.LS3.B (1-LS3-1); 4.LS1.A (1-LS1-1); 4.LS1.D (1-LS1-1); 4.ETS1.A (1-LS1-1) Common Core State Standards Connections: ELA/Literacy – RI.1.1 Ask and answer questions about key details in a text. (1-LS1-2),(1-LS3-1) RI.1.2 Identify the main topic and retell key details of a text. (1-LS1-2) RI.1.10 With prompting and support, read informational texts appropriately complex for grade. (1-LS1-2) W.1.7 Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). (1-LS1- 1),(1-LS3-1) W.1.8 With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. (1-LS3-1) Mathematics – MP.2 Reason abstractly and quantitatively. (1-LS3-1) MP.5 Use appropriate tools strategically. (1-LS3-1) 1.NBT.B.3 Compare two two-digit numbers based on the meanings of the tens and one digits, recording the results of comparisons with the symbols , , and . (1-LS1-2) 1.NBT.C.4 Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning uses. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten. (1- LS1-2) 1.NBT.C.5 Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used. (1-LS1-2) 1.NBT.C.6 Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. (1-LS1-2) 1.MD.A.1 Order three objects by length; compare the lengths of two objects indirectly by using a third object. (1-LS3-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 10 of 102</p>",14784,53015,16470,Grade 1,"Structure, Function, and Information Processing",LS3: Heredity: Inheritance and Variation of Traits,1-LS3-1,LS3,TRUE
ngss-1-ess1-1,1-ESS1-1,basic_html,"<p>Use observations of the sun, moon, and stars to describe patterns that can be predicted.  [Clarification Statement:  Examples of patterns could include that the sun and moon appear to rise in one part of the sky, move across the sky, and set; and stars other than our sun are visible at night but not during the day.] [Assessment Boundary:  Assessment of star patterns is limited to stars being seen at night and not during the day.]</p>",14784,53017,16470,Grade 1,Space Systems:  Patterns and Cycles,ESS1: Earth's Place in the Universe,1-ESS1-1,ESS1,TRUE
ngss-1-ess1-2,1-ESS1-2,basic_html,"<p>Make observations at different times of year to relate the amount of daylight to the time of year.  [Clarification Statement:  Emphasis is on relative comparisons of the amount of daylight in the winter to the amount in the spring or fall.] [Assessment Boundary:  Assessment is limited to relative amounts of daylight, not quantifying the hours or time of daylight.]</p>",14784,53017,16470,Grade 1,Space Systems:  Patterns and Cycles,ESS1: Earth's Place in the Universe,1-ESS1-2,ESS1,TRUE
ngss-2-ps1-1,2-PS1-1,basic_html,"<p>Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.  [Clarification Statement:  Observations could include color, texture, hardness, and flexibility. Patterns could include the similar properties that different materials share.]</p>",14784,53020,16470,Grade 2,Structure and Properties of Matter,PS1: Matter and Its Interactions,2-PS1-1,PS1,TRUE
ngss-2-ps1-2,2-PS1-2,basic_html,"<p>Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.*  [Clarification Statement:  Examples of properties could include, strength, flexibility, hardness, texture, and absorbency.] [Assessment Boundary:  Assessment of quantitative measurements is limited to length.]</p>",14784,53020,16470,Grade 2,Structure and Properties of Matter,PS1: Matter and Its Interactions,2-PS1-2,PS1,TRUE
ngss-2-ps1-3,2-PS1-3,basic_html,"<p>Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.  [Clarification Statement:  Examples of pieces could include blocks, building bricks, or other assorted small objects.]</p>",14784,53020,16470,Grade 2,Structure and Properties of Matter,PS1: Matter and Its Interactions,2-PS1-3,PS1,TRUE
ngss-2-ps1-4,2-PS1-4,basic_html,"<p>Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.  [Clarification Statement:  Examples of reversible changes could include materials such as water and butter at different temperatures. Examples of irreversible changes could include cooking an egg, freezing a plant leaf, and heating paper.]</p>",14784,53020,16470,Grade 2,Structure and Properties of Matter,PS1: Matter and Its Interactions,2-PS1-4,PS1,TRUE
ngss-2-ls2-1,2-LS2-1,basic_html,<p>Plan and conduct an investigation to determine if plants need sunlight and water to grow.  [Assessment Boundary:  Assessment is limited to testing one variable at a time.]</p>,14784,53022,16470,Grade 2,Interdependent Relationships in Ecosystems,"LS2: Ecosystems: Interactions, Energy, and Dynamics",2-LS2-1,LS2,TRUE
ngss-2-ls2-2,2-LS2-2,basic_html,<p>Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.*</p>,14784,53022,16470,Grade 2,Interdependent Relationships in Ecosystems,"LS2: Ecosystems: Interactions, Energy, and Dynamics",2-LS2-2,LS2,TRUE
ngss-2-ls4-1,2-LS4-1,basic_html,<p>Make observations of plants and animals to compare the diversity of life in different habitats.  [Clarification Statement: Emphasis is on the diversity of living things in each of a variety of different habitats.] [Assessment Boundary:  Assessment does not include specific animal and plant names in specific habitats.]</p>,14784,53023,16470,Grade 2,Interdependent Relationships in Ecosystems,LS4: Biological Evolution: Unity and Diversity,2-LS4-1,LS4,TRUE
ngss-2-ess1-1,2-ESS1-1,basic_html,"<p>Use information from several sources to provide evidence that Earth events can occur quickly or slowly.</p>
<p><strong>Clarification Statement:</strong> Examples of solutions could include different designs of dikes and windbreaks to hold back wind and water, and different designs for using shrubs, grass, and trees to hold back the land. 2-ESS2-2. Develop a model to represent the shapes and kinds of land and bodies of water in an area.  [Assessment Boundary: Assessment does not include quantitative scaling in models. 2-ESS2-3. Obtain information to identify where water is found on Earth and that it can be solid or liquid. The performance expectations above were developed using the following elements from the NRC document A Framework for K-12 Science Education: Science and Engineering Practices Developing and Using Models Modeling in K–2 builds on prior experiences and progresses to include using and developing models (i.e., diagram, drawing, physical replica, diorama, dramatization, or storyboard) that represent concrete events or design solutions. ▪ Develop a model to represent patterns in the natural world. (2-ESS2-2) Constructing Explanations and Designing Solutions Constructing explanations and designing solutions in K–2 builds on prior experiences and progresses to the use of evidence and ideas in constructing evidence-based accounts of natural phenomena and designing solutions. ▪ Make observations from several sources to construct an evidence-based account for natural phenomena. (2-ESS1-1) ▪ Compare multiple solutions to a problem. (2-ESS2-1) Obtaining, Evaluating, and Communicating Information Obtaining, evaluating, and communicating information in K–2 builds on prior experiences and uses observations and texts to communicate new information. ▪ Obtain information using various texts, text features (e.g., headings, tables of contents, glossaries, electronic menus, icons), and other media that will be useful in answering a scientific question. (2-ESS2-3) Disciplinary Core Ideas ESS1.C:  The History of Planet Earth ▪ Some events happen very quickly; others occur very slowly, over a time period much longer than one can observe. (2-ESS1-1) ESS2.A:  Earth Materials and Systems ▪ Wind and water can change the shape of the land. (2- ESS2-1) ESS2.B:  Plate Tectonics and Large-Scale System Interactions ▪ Maps show where things are located. One can map the shapes and kinds of land and water in any area. (2-ESS2 2) ESS2.C:  The Roles of Water in Earth’s Surface Processes ▪ Water is found in the ocean, rivers, lakes, and ponds. Water exists as solid ice and in liquid form. (2-ESS2-3) ETS1.C:  Optimizing the Design Solution ▪ Because there is always more than one possible solution to a problem, it is useful to compare and test designs. (secondary to 2-ESS2-1) Crosscutting Concepts Patterns ▪ Patterns in the natural world can be observed. (2-ESS2-2),(2-ESS2-3) Stability and Change ▪ Things may change slowly or rapidly. (2- ESS1-1),(2-ESS2-1) -------------------------------------------------- Connections to Engineering, Technology, and Applications of Science Influence of Engineering, Technology, and Science on Society and the Natural World ▪ Developing and using technology has impacts on the natural world. (2-ESS2-1) -------------------------------------------------- Connections to Nature of Science Science Addresses Questions About the Natural and Material World ▪ Scientists study the natural and material world. (2-ESS2-1) Connections to other DCIs in second grade:  2.PS1.A (2-ESS2-3) Articulation of DCIs across grade-levels:  K.ETS1.A (2-ESS2-1); 3.LS2.C (2-ESS1-1); 4.ESS1.C (2-ESS1-1); 4.ESS2.A (2-ESS1-1),(2-ESS2-1); 4.ESS2.B (2-ESS2-2); 4.ETS1.A (2- ESS2-1); 4.ETS1.B (2-ESS2-1); 4.ETS1.C (2-ESS2-1); 5.ESS2.A (2-ESS2-1); 5.ESS2.C (2-ESS2-2),(2-ESS2-3) Common Core State Standards Connections: ELA/Literacy – RI.2.1 Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text. (2-ESS1-1) RI.2.3 Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text. (2-ESS1-1),(2-ESS2-1) RI.2.9 Compare and contrast the most important points presented by two texts on the same topic. (2-ESS2-1) W.2.6 With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers. (2-ESS1-1),(2-ESS2-3) W.2.7 Participate in shared research and writing projects (e.g., read a number of books on a single topic to produce a report; record science observations). (2-ESS1-1) W.2.8 Recall information from experiences or gather information from provided sources to answer a question. (2-ESS1-1),(2-ESS2-3) SL.2.2 Recount or describe key ideas or details from a text read aloud or information presented orally or through other media. (2-ESS1-1) SL.2.5 Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings. (2-ESS2-2) Mathematics – MP.2 Reason abstractly and quantitatively. (2-ESS2-1),(2-ESS2-1),(2-ESS2-2) MP.4 Model with mathematics. (2-ESS1-1),(2-ESS2-1),(2-ESS2-2) MP.5 Use appropriate tools strategically. (2-ESS2-1) 2.NBT.A Understand place value. (2-ESS1-1) 2.NBT.A.3 Read and write numbers to 1000 using base-ten numerals, number names, and expanded form. (2-ESS2-2) 2.MD.B.5 Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem. (2-ESS2-1) September 2017 ©2013 Achieve, Inc. All rights reserved. 15 of 102</p>",14784,53025,16470,Grade 2,Earth’s Systems:  Processes that Shape the Earth,ESS1: Earth's Place in the Universe,2-ESS1-1,ESS1,TRUE
