uuid,title,body/format,body/value,field_standards_framework,field_standards_hierarchy,field_standards_taxonomy,field_org_level_1,field_org_level_2,field_org_level_3,field_standard_ref,status
mathcc-k-oa-5,CCSS.Math.Content.K.OA.5,basic_html,"<p>Fluently add and subtract within 5. 1Include groups with up to ten objects. 2Drawings need not show details, but should show the mathematics in the problem. (This applies wherever drawings are mentioned in the Standards.)</p>",14783,51010,16470,Kindergarten,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and under stand subtraction as taking apart a",K.OA.5,TRUE
mathcc-k-nbt-1,CCSS.Math.Content.K.NBT.1,basic_html,"<p>Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.</p>",14783,51011,16470,Kindergarten,Number and Operations in Base Ten,Work with numbers 11–19 to gain foundations for place value.,K.NBT.1,TRUE
mathcc-k-md-1,CCSS.Math.Content.K.MD.1,basic_html,"<p>Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.</p>",14783,51013,16470,Kindergarten,Measurement and Data,Describe and compare measurable attributes.,K.MD.1,TRUE
mathcc-k-md-2,CCSS.Math.Content.K.MD.2,basic_html,"<p>Directly compare two objects with a measurable attribute in common, to see which object has “more of”/“less of” the attribute, and describe the difference. For example, directly compare the heights of two children and describe one child as taller/shorter. Classify objects and count the number of objects in each category.</p>",14783,51013,16470,Kindergarten,Measurement and Data,Describe and compare measurable attributes.,K.MD.2,TRUE
mathcc-k-md-3,CCSS.Math.Content.K.MD.3,basic_html,<p>Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.3</p>,14783,51013,16470,Kindergarten,Measurement and Data,Describe and compare measurable attributes.,K.MD.3,TRUE
mathcc-k-g-1,CCSS.Math.Content.K.G.1,basic_html,"<p>Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.</p>",14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.1,TRUE
mathcc-k-g-2,CCSS.Math.Content.K.G.2,basic_html,<p>Correctly name shapes regardless of their orientations or overall size.</p>,14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.2,TRUE
mathcc-k-g-3,CCSS.Math.Content.K.G.3,basic_html,"<p>Identify shapes as two-dimensional (lying in a plane, “flat”) or three dimensional (“solid”). Analyze, compare, create, and compose shapes.</p>",14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.3,TRUE
mathcc-k-g-4,CCSS.Math.Content.K.G.4,basic_html,"<p>Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/“corners”) and other attributes (e.g., having sides of equal length).</p>",14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.4,TRUE
mathcc-k-g-5,CCSS.Math.Content.K.G.5,basic_html,"<p>Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.</p>",14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.5,TRUE
mathcc-k-g-6,CCSS.Math.Content.K.G.6,basic_html,"<p>Compose simple shapes to form larger shapes. For example, “Can you join these two triangles with full sides touching to make a rectangle?” 3Limit category counts to be less than or equal to 10.</p>",14783,51015,16470,Kindergarten,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylin",K.G.6,TRUE
mathcc-k-g-20,CCSS.Math.Content.K.G.20,basic_html,"<p>By comparing a variety of solution strategies, children build their understanding of the relationship between addition and subtraction. (2) Students develop, discuss, and use efficient, accurate, and generalizable methods to add within 100 and subtract multiples of 10. They compare whole numbers (at least to 100) to develop understanding of and solve problems involving their relative sizes. They think of whole numbers between 10 and 100 in terms of tens and ones (especially recognizing the numbers 11 to 19 as composed of a ten and some ones). Through activities that build number sense, they understand the order of the counting numbers and their relative magnitudes. (3) Students develop an understanding of the meaning and processes of measurement, including underlying concepts such as iterating (the mental activity of building up the length of an object with equal-sized units) and the transitivity principle for indirect measurement.1 (4) Students compose and decompose plane or solid figures (e.g., put two triangles together to make a quadrilateral) and build understanding of part-whole relationships as well as the properties of the original and composite shapes. As they combine shapes, they recognize them from different perspectives and orientations, describe their geometric attributes, and determine how they are alike and different, to develop the background for measurement and for initial understandings of properties such as congruence and symmetry. 1Students should apply the principle of transitivity of measurement to make indirect comparisons, but they need not use this technical term.</p>",14783,51016,16470,Kindergarten,Geometry,"(e.g., “making tens”) to solve addition and subtraction problems within",K.G.20,TRUE
mathcc-k-g-2,CCSS.Math.Content.K.G.2,basic_html,<p>Reason abstractly and quantitatively.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.2,TRUE
mathcc-k-g-3,CCSS.Math.Content.K.G.3,basic_html,<p>Construct viable arguments and critique the reasoning of others.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.3,TRUE
mathcc-k-g-4,CCSS.Math.Content.K.G.4,basic_html,<p>Model with mathematics.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.4,TRUE
mathcc-k-g-5,CCSS.Math.Content.K.G.5,basic_html,<p>Use appropriate tools strategically.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.5,TRUE
mathcc-k-g-6,CCSS.Math.Content.K.G.6,basic_html,<p>Attend to precision.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.6,TRUE
mathcc-k-g-7,CCSS.Math.Content.K.G.7,basic_html,<p>Look for and make use of structure.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.7,TRUE
mathcc-k-g-8,CCSS.Math.Content.K.G.8,basic_html,<p>Look for and express regularity in repeated reasoning.</p>,14783,51017,16470,Kindergarten,Geometry,Make sense of problems and persevere in solving them.,K.G.8,TRUE
mathcc-1-oa-1,CCSS.Math.Content.1.OA.1,basic_html,"<p>Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.2</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.1,TRUE
mathcc-1-oa-2,CCSS.Math.Content.1.OA.2,basic_html,"<p>Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem. Understand and apply properties of operations and the relationship between addition and subtraction.</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.2,TRUE
mathcc-1-oa-3,CCSS.Math.Content.1.OA.3,basic_html,"<p>Apply properties of operations as strategies to add and subtract.3 Examples: If 8 + 3 = 11 is known, then 3 + 8 = 11 is also known. (Commutative property of addition.) To add 2 + 6 + 4, the second two numbers can be added to make a ten, so 2 + 6 + 4 = 2 + 10 = 12. (Associative property of addition.)</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.3,TRUE
mathcc-1-oa-4,CCSS.Math.Content.1.OA.4,basic_html,"<p>Understand subtraction as an unknown-addend problem. For example, subtract 10 – 8 by finding the number that makes 10 when added to 8. Add and subtract within 20.</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.4,TRUE
mathcc-1-oa-5,CCSS.Math.Content.1.OA.5,basic_html,"<p>Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.5,TRUE
mathcc-1-oa-6,CCSS.Math.Content.1.OA.6,basic_html,"<p>Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13). Work with addition and subtraction equations.</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.6,TRUE
mathcc-1-oa-7,CCSS.Math.Content.1.OA.7,basic_html,"<p>Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6, 7 = 8 – 1, 5 + 2 = 2 + 5, 4 + 1 = 5 + 2.</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.7,TRUE
mathcc-1-oa-8,CCSS.Math.Content.1.OA.8,basic_html,"<p>Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = Í – 3, 6 + 6 = Í.</p>",14783,51020,16470,Grade 1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1.OA.8,TRUE
mathcc-1-nbt-1,CCSS.Math.Content.1.NBT.1,basic_html,"<p>Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral. Understand place value.</p>",14783,51022,16470,Grade 1,Number and Operations in Base Ten,Extend the counting sequence.,1.NBT.1,TRUE
mathcc-1-nbt-2,CCSS.Math.Content.1.NBT.2,basic_html,<p>Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:</p>,14783,51022,16470,Grade 1,Number and Operations in Base Ten,Extend the counting sequence.,1.NBT.2,TRUE
mathcc-1-nbt-3,CCSS.Math.Content.1.NBT.3,basic_html,"<p>Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <. Use place value understanding and properties of operations to add and subtract.</p>",14783,51023,16470,Grade 1,Number and Operations in Base Ten,3Students need not use formal terms for these properties.,1.NBT.3,TRUE
mathcc-1-nbt-4,CCSS.Math.Content.1.NBT.4,basic_html,"<p>Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.</p>",14783,51023,16470,Grade 1,Number and Operations in Base Ten,3Students need not use formal terms for these properties.,1.NBT.4,TRUE
mathcc-1-nbt-5,CCSS.Math.Content.1.NBT.5,basic_html,"<p>Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.</p>",14783,51023,16470,Grade 1,Number and Operations in Base Ten,3Students need not use formal terms for these properties.,1.NBT.5,TRUE
mathcc-1-nbt-6,CCSS.Math.Content.1.NBT.6,basic_html,"<p>Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.</p>",14783,51023,16470,Grade 1,Number and Operations in Base Ten,3Students need not use formal terms for these properties.,1.NBT.6,TRUE
mathcc-1-md-1,CCSS.Math.Content.1.MD.1,basic_html,<p>Order three objects by length; compare the lengths of two objects indirectly by using a third object.</p>,14783,51025,16470,Grade 1,Measurement and Data,Measure lengths indirectly and by iterating length units.,1.MD.1,TRUE
mathcc-1-md-2,CCSS.Math.Content.1.MD.2,basic_html,"<p>Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps. Tell and write time.</p>",14783,51025,16470,Grade 1,Measurement and Data,Measure lengths indirectly and by iterating length units.,1.MD.2,TRUE
mathcc-1-md-3,CCSS.Math.Content.1.MD.3,basic_html,<p>Tell and write time in hours and half-hours using analog and digital clocks. Represent and interpret data.</p>,14783,51025,16470,Grade 1,Measurement and Data,Measure lengths indirectly and by iterating length units.,1.MD.3,TRUE
mathcc-1-md-4,CCSS.Math.Content.1.MD.4,basic_html,"<p>Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.</p>",14783,51025,16470,Grade 1,Measurement and Data,Measure lengths indirectly and by iterating length units.,1.MD.4,TRUE
mathcc-1-g-1,CCSS.Math.Content.1.G.1,basic_html,"<p>Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.</p>",14783,51027,16470,Grade 1,Geometry,Reason with shapes and their attributes.,1.G.1,TRUE
mathcc-1-g-2,CCSS.Math.Content.1.G.2,basic_html,"<p>Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.4</p>",14783,51027,16470,Grade 1,Geometry,Reason with shapes and their attributes.,1.G.2,TRUE
mathcc-1-g-3,CCSS.Math.Content.1.G.3,basic_html,"<p>Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares. 4Students do not need to learn formal names such as “right rectangular prism.”</p>",14783,51027,16470,Grade 1,Geometry,Reason with shapes and their attributes.,1.G.3,TRUE
mathcc-1-g-2,CCSS.Math.Content.1.G.2,basic_html,<p>Reason abstractly and quantitatively.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.2,TRUE
mathcc-1-g-3,CCSS.Math.Content.1.G.3,basic_html,<p>Construct viable arguments and critique the reasoning of others.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.3,TRUE
mathcc-1-g-4,CCSS.Math.Content.1.G.4,basic_html,<p>Model with mathematics.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.4,TRUE
mathcc-1-g-5,CCSS.Math.Content.1.G.5,basic_html,<p>Use appropriate tools strategically.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.5,TRUE
mathcc-1-g-6,CCSS.Math.Content.1.G.6,basic_html,<p>Attend to precision.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.6,TRUE
mathcc-1-g-7,CCSS.Math.Content.1.G.7,basic_html,<p>Look for and make use of structure.</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.7,TRUE
mathcc-1-g-8,CCSS.Math.Content.1.G.8,basic_html,<p>Look for and express regularity in repeated reasoning. Grade 2 Overview</p>,14783,51028,16470,Grade 1,Geometry,Make sense of problems and persevere in solving them.,1.G.8,TRUE
mathcc-2-oa-1,CCSS.Math.Content.2.OA.1,basic_html,"<p>Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions,</p>",14783,51031,16470,Grade 2,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,2.OA.1,TRUE
mathcc-2-oa-2,CCSS.Math.Content.2.OA.2,basic_html,"<p>Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers. Work with equal groups of objects to gain foundations for multiplication.</p>",14783,51032,16470,Grade 2,Operations and Algebraic Thinking,Add and subtract within 20.,2.OA.2,TRUE
mathcc-2-oa-3,CCSS.Math.Content.2.OA.3,basic_html,"<p>Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.</p>",14783,51032,16470,Grade 2,Operations and Algebraic Thinking,Add and subtract within 20.,2.OA.3,TRUE
mathcc-2-oa-4,CCSS.Math.Content.2.OA.4,basic_html,<p>Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.</p>,14783,51032,16470,Grade 2,Operations and Algebraic Thinking,Add and subtract within 20.,2.OA.4,TRUE
mathcc-2-nbt-1,CCSS.Math.Content.2.NBT.1,basic_html,"<p>Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:</p>",14783,51034,16470,Grade 2,Number and Operations in Base Ten,Understand place value.,2.NBT.1,TRUE
mathcc-2-nbt-2,CCSS.Math.Content.2.NBT.2,basic_html,"<p>Count within 1000; skip-count by 5s, 10s, and 100s.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.2,TRUE
mathcc-2-nbt-3,CCSS.Math.Content.2.NBT.3,basic_html,"<p>Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.3,TRUE
mathcc-2-nbt-4,CCSS.Math.Content.2.NBT.4,basic_html,"<p>Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons. Use place value understanding and properties of operations to add and subtract.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.4,TRUE
mathcc-2-nbt-5,CCSS.Math.Content.2.NBT.5,basic_html,"<p>Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.5,TRUE
mathcc-2-nbt-6,CCSS.Math.Content.2.NBT.6,basic_html,<p>Add up to four two-digit numbers using strategies based on place value and properties of operations.</p>,14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.6,TRUE
mathcc-2-nbt-7,CCSS.Math.Content.2.NBT.7,basic_html,"<p>Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.7,TRUE
mathcc-2-nbt-8,CCSS.Math.Content.2.NBT.8,basic_html,"<p>Mentally add 10 or 100 to a given number 100–900, and mentally subtract 10 or 100 from a given number 100–900.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.8,TRUE
mathcc-2-nbt-9,CCSS.Math.Content.2.NBT.9,basic_html,"<p>Explain why addition and subtraction strategies work, using place value and the properties of operations.3 1See Glossary, Table 1. 2See standard 1.OA.6 for a list of mental strategies. 3Explanations may be supported by drawings or objects.</p>",14783,51035,16470,Grade 2,Number and Operations in Base Ten,"one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",2.NBT.9,TRUE
mathcc-2-md-1,CCSS.Math.Content.2.MD.1,basic_html,"<p>Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.</p>",14783,51037,16470,Grade 2,Measurement and Data,Measure and estimate lengths in standard units.,2.MD.1,TRUE
mathcc-2-md-2,CCSS.Math.Content.2.MD.2,basic_html,"<p>Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.</p>",14783,51037,16470,Grade 2,Measurement and Data,Measure and estimate lengths in standard units.,2.MD.2,TRUE
mathcc-2-md-3,CCSS.Math.Content.2.MD.3,basic_html,"<p>Estimate lengths using units of inches, feet, centimeters, and meters.</p>",14783,51037,16470,Grade 2,Measurement and Data,Measure and estimate lengths in standard units.,2.MD.3,TRUE
